Month,Index
2018-01-31,39.00961698044234
2018-02-28,43.32584629053794
2018-03-31,51.96423926522652
2018-04-30,44.09742473491084
2018-05-31,52.47325016369955
2018-06-30,62.358027826456166
2018-07-31,60.26789885114401
2018-08-31,76.47562865463772
2018-09-30,61.20967383277833
2018-10-31,64.93075241783617
2018-11-30,74.06592623113394
2018-12-31,105.67209909015845
2019-01-31,62.185971344616924
2019-02-28,104.85436618217919
2019-03-31,60.24640248083193
2019-04-30,83.43455648345656
2019-05-31,76.90920560232705
2019-06-30,71.77093595217114
2019-07-31,96.48638572789983
2019-08-31,96.99844950566509
2019-09-30,82.7812779926474
2019-10-31,60.593089939474055
2019-11-30,87.69928803058725
2019-12-31,98.08806166435224
2020-01-31,98.02720416792015
2020-02-29,111.33902922687479
2020-03-31,131.0031394414499
2020-04-30,110.20812255876211
2020-05-31,114.51652551636437
2020-06-30,110.22272597068724
2020-07-31,127.58653673588364
2020-08-31,119.97100016440494
2020-09-30,125.23658515446485
2020-10-31,143.13435243530245
2020-11-30,121.40476451829025
2020-12-31,115.93556606748392
