Month,Production
2010-01-31,100.0
2010-02-28,89.96967168572593
2010-03-31,78.86531159439785
2010-04-30,71.39033243991418
2010-05-31,59.46818935457056
2010-06-30,47.67106590318743
2010-07-31,46.06570148477532
2010-08-31,44.62712867289115
2010-09-30,36.98428541913389
2010-10-31,34.759199653469786
2010-11-30,39.13516164495174
2010-12-31,59.08941185154112
2011-01-31,74.11727422830877
2011-02-28,84.94228870034183
2011-03-31,95.90022147162205
2011-04-30,104.65690809966496
2011-05-31,115.48735304190133
2011-06-30,125.1963182592665
2011-07-31,122.23639946728065
2011-08-31,111.08672814736583
2011-09-30,107.98573163974544
2011-10-31,115.08626222173396
2011-11-30,121.12110994038511
2011-12-31,126.9306906900391
2012-01-31,146.17608010760813
2012-02-29,166.45176382529684
2012-03-31,180.50885883335184
2012-04-30,191.27286056510798
2012-05-31,202.3190370879667
2012-06-30,209.8242940140256
2012-07-31,217.2363677208304
2012-08-31,214.21899475459347
2012-09-30,208.92825351278486
2012-10-31,206.31888060756032
2012-11-30,203.53160921667092
2012-12-31,198.66059005878589
2013-01-31,191.0158663978431
2013-02-28,180.073520910672
2013-03-31,158.78973508631302
2013-04-30,136.7558226295778
2013-05-31,126.14368697796142
2013-06-30,119.77896137532848
2013-07-31,117.66068864781822
2013-08-31,112.36467476561356
2013-09-30,99.42847510276363
2013-10-31,83.35508223832758
2013-11-30,65.09930327695238
2013-12-31,43.84131027301409
2014-01-31,28.25198633436332
2014-02-28,27.358516392959423
2014-03-31,27.845681418909034
2014-04-30,18.060247218430966
2014-05-31,10.26488429329046
2014-06-30,-0.7293805232681034
2014-07-31,-17.931446050566272
2014-08-31,-30.456077702352562
2014-09-30,-38.81237879589154
2014-10-31,-48.51093947441528
2014-11-30,-56.67611363219403
2014-12-31,-64.26790156773737
2015-01-31,-61.15793691841368
2015-02-28,-57.636116194677626
2015-03-31,-61.42741621022795
2015-04-30,-68.64002343435705
2015-05-31,-76.89023949216686
2015-06-30,-80.71907650658738
2015-07-31,-91.86784221982802
2015-08-31,-102.52069335125499
2015-09-30,-111.6190516843687
2015-10-31,-115.4570010995202
2015-11-30,-116.43972673484745
2015-12-31,-114.65327166888025
2016-01-31,-114.06302603881792
2016-02-29,-112.4382456408705
2016-03-31,-101.88699392151187
2016-04-30,-94.03787540161574
2016-05-31,-90.92755589213183
2016-06-30,-91.44940485216154
2016-07-31,-85.06533336726781
2016-08-31,-78.78373683724381
